IDENT_PSN,FAMNO_PSN,IUNO_PSN,PERSON_NUMBER,PERS_WT
01372087,1,01,01,03455328
01372087,1,01,02,03319047
01372764,1,01,01,02667500
01380566,1,01,01,01439069
01380566,1,01,02,01305283
01380566,1,02,01,02086000
01380566,1,03,01,01312000
01386940,1,01,01,01326037
01386940,1,01,02,01681777
01390800,1,01,01,02796746
01402154,1,01,01,04647927
01402154,1,01,02,04280127
01402154,1,02,01,05714878
01402154,1,03,01,05332608
01408480,1,01,01,04558723
01408480,1,01,02,03533066
01412044,1,01,01,01991494
01412044,1,01,02,01984271
01420137,1,01,01,05562748
01420137,1,01,02,05407586
01423607,1,01,01,03199398
01423607,1,01,02,02796746
01439788,1,01,01,03455328
01439788,1,01,02,03060833
01442265,1,01,01,03403750
01442265,1,01,02,03052142
01467265,1,01,01,04946889
01467265,1,01,02,04909100
01468070,1,01,01,03890454
01468070,1,02,01,04670722
01470911,1,01,01,02208490
01470911,1,01,02,02382739
01478651,1,01,01,04393174
01478651,1,01,02,04210559
01490690,1,01,01,02107536
01493280,1,01,01,01174347
01493280,1,01,02,01059649
01504151,1,01,01,04262429
01508842,1,01,01,06234216
01508842,1,01,02,05422376
01511956,1,01,01,03199398
01511956,1,01,02,02796746
01524239,1,01,01,04670722
01524239,1,01,02,03962285
01540809,1,01,01,05162716
01540809,1,01,02,04572476
01545487,1,01,01,03326530
01545487,1,01,02,03317685
01545487,1,01,03,03175454
01548471,1,01,01,02602631
01548471,1,01,02,02109485
01548471,1,02,01,01980909
01553577,1,01,01,01980909
01553577,2,01,01,02557241
01561138,1,01,01,02422820
01561138,1,01,02,02667187
01561138,1,02,01,02579166
01561138,1,03,01,01774117
01567222,1,01,01,04101300
01567222,1,01,02,04571681
01568472,1,01,01,02300000
01568472,1,01,02,01850000
01571428,1,01,01,02930961
01571428,1,01,02,03236712
01573132,1,01,01,03835000
01584980,1,01,01,03004126
01584980,1,01,02,02836551
01592616,1,01,01,04393174
01592616,1,01,02,04210559
01633826,1,01,01,03082105
01633826,1,01,02,02289375
01633826,1,01,03,01570000
01633826,2,01,01,01584166
01668693,1,01,01,03860638
01673820,1,01,01,03110340
01673820,1,02,01,02964666
01674294,1,01,01,06234216
01674719,1,01,01,04647927
01677726,1,01,01,02881641
01685119,1,01,01,02595531
01685119,1,01,02,02113981
01693078,1,01,01,02035683
01693078,2,01,01,02543636
01693078,3,01,01,02460000
01693078,4,01,01,01984271
01695190,1,01,01,02370576
01695190,1,02,01,02110975
01702321,1,01,01,04760181
01702321,2,01,01,05025660
01705966,1,01,01,04343740
01705966,1,01,02,04246231
01709799,1,01,01,05309909
01719890,1,01,01,04437675
01724427,1,01,01,04343740
01727386,1,01,01,04558723
01727386,1,01,02,03236712
01735061,1,01,01,04858024
01735061,1,01,02,05278971
01747467,1,01,01,03310170
01747467,1,01,02,02881641
01747467,1,02,01,03835000
01754789,1,01,01,04998013
01754789,1,01,03,05714878
01754789,1,02,01,04513730
01754789,1,03,01,04262429
01770870,1,01,01,03004126
01770870,1,01,02,04380294
01777573,1,01,01,04750113
01777573,1,01,02,04280127
01777573,1,01,03,04390000
01778594,1,01,01,01876226
01778594,1,01,02,02667187
01778594,1,02,01,03027000
01798391,1,01,01,02358363
01798391,1,02,01,02462727
01801243,1,01,01,02340350
01801243,1,01,02,02213648
01801243,1,02,01,01936888
01801243,1,03,01,02499062
01801243,2,01,01,02593000
01801243,2,01,02,02241801
01803217,1,01,01,04437675
01803217,1,01,02,04572476
01803217,1,01,03,04391454
01807158,1,01,01,01230000
01807158,1,01,02,07710000
01807158,1,02,01,01230000
01807158,2,01,01,03944444
01807158,2,01,03,12550000
01807158,2,02,01,01230000
01807158,2,03,01,05830000
01807158,2,04,01,03476666
01815506,1,01,01,05614111
01815506,1,01,02,05776049
01815506,1,02,01,06167428
01820871,1,01,01,02602631
01820871,1,01,02,01981213
01830942,1,01,01,04775270
01830942,1,01,03,04271833
01836161,1,01,01,06234216
01836161,1,01,02,05374044
01836161,1,02,01,05023437
01836161,1,03,01,07081600
01836161,1,04,01,05792666
01845379,1,01,01,05440240
01861809,1,01,01,04647927
01861809,1,01,02,04262429
01875020,1,01,01,04513730
01875020,1,01,02,04262429
01893300,1,01,01,05665040
01893300,1,01,02,05053507
01895125,1,01,01,02269473
01895125,1,01,02,02414838
01901042,1,01,01,04581257
01901042,1,01,02,04808657
01908103,1,01,01,04343740
01908103,1,01,02,04246231
01920589,1,01,01,02602631
01920589,1,01,02,02109485
01920589,1,01,03,02110975
01921172,1,01,01,02019603
01921172,1,01,02,02358363
01923784,1,01,01,04909100
01923801,1,01,01,04816687
01923801,1,02,01,06182391
01925674,1,01,01,04946889
01925674,1,01,02,04294392
01931939,1,01,01,04649500
01931939,1,01,02,04998013
01931939,1,02,01,04782142
01948495,1,01,01,02382739
01948611,1,01,01,02602631
01952012,1,01,01,02084159
01952012,1,01,02,02414838
01952643,1,01,01,02572424
01952643,1,01,02,03905932
01953036,1,01,01,04946889
01953036,1,01,02,04909100
01953175,1,01,01,02300000
01953175,1,01,02,02213648
01954173,1,01,01,03282000
01954173,1,01,02,03052142
01955975,1,01,01,02331818
01964973,1,01,01,04427405
01964973,1,01,02,05305515
01966165,1,01,01,04091265
01966443,1,01,01,01124000
01966443,1,01,02,01057142
01966443,1,02,01,01312000
