,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Real unit of labour costs: Index - Percentage changes ;,Real unit of labour costs - Non-farm: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Real unit of labour costs: Index ;,Real unit of labour costs - Non-farm: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;
Mar-2000,1.1,0.8,1.3,1.1,1.5,1.4,1.5,1.2,2.3,0.8,0.8,0.3,0.4,-0.9,-1.3,1.1,255254,13366,177846,225585,225091,218705,187952,9842,167620,8777,163141,10123,1.8,83.5,87.2,87.1,82.0,108.6,106.6,53.1,1.0,0.7,1.3,1.0,1.7,1.4,1.4,1.1,2.3,0.0,0.2,1.0,1.1,1.0,0.7,3.3,255236,13365,177849,225568,225678,218980,188197,9855,167850,8789,163578,10539,2.9,83.2,87.0,87.4,82.2,65.2,73.9,53.2,-6.7,-7.1,-6.1,-8.1,-6.2,-6.8,-8.4,-8.7,-4.1,0.4,0.9,-7.1,-6.9,1.0,0.7,2.9,247318,12945,172092,217243,218612,211985,180932,9470,163215,8543,159349,9463,2.9,83.1,87.0,84.8,79.5,65.2,73.9,53.1
Jun-2000,0.5,0.2,0.8,0.4,0.7,0.7,0.6,0.3,1.8,0.4,0.3,0.1,0.5,-1.0,-0.5,-1.2,256612,13398,179269,226539,226614,220233,189093,9872,170709,8913,166353,10119,2.2,83.8,87.5,87.2,82.3,107.5,106.0,52.4,0.7,0.4,0.9,0.7,0.4,0.6,0.5,0.2,1.5,0.7,0.6,0.1,0.3,0.6,0.9,-1.6,257133,13425,179443,227084,226620,220266,189095,9873,170355,8894,165990,10450,0.0,83.8,87.5,87.5,82.4,65.5,74.6,52.4,2.8,2.6,3.2,3.1,2.5,2.7,3.0,2.7,3.7,0.0,-0.3,2.8,3.6,0.6,0.9,-1.5,254279,13278,177645,224085,224098,217765,186338,9730,169189,8835,163426,8560,-3.1,83.1,86.7,87.2,82.3,65.5,74.6,52.3
Sep-2000,0.1,-0.2,0.1,-0.1,0.1,0.2,0.0,-0.3,1.4,0.0,-0.2,0.1,0.3,0.5,1.2,0.2,256771,13364,179417,226239,226803,220614,189130,9844,173038,9006,168888,9540,2.4,83.8,87.3,87.3,82.6,108.1,107.3,52.5,0.0,-0.3,0.3,-0.2,0.3,0.4,0.3,0.0,2.2,0.8,0.5,-0.8,-0.2,3.0,2.5,1.3,257204,13386,179987,226694,227323,221132,189713,9874,174101,9061,169505,9218,4.4,84.5,88.0,86.8,82.2,67.5,76.4,53.1,0.3,0.0,0.4,0.2,0.6,0.5,0.7,0.4,2.7,0.2,-0.1,0.1,0.5,3.0,2.5,1.5,255074,13277,178313,224459,225549,218936,187620,9766,173755,9044,168625,8881,4.0,83.3,86.6,87.2,82.8,67.5,76.4,53.1
Dec-2000,0.1,-0.2,-0.1,-0.1,0.1,0.1,0.0,-0.4,1.2,-0.5,-0.8,0.6,0.8,0.5,0.6,-0.2,257092,13336,179237,226108,226993,220869,189064,9807,175090,9082,170827,8559,2.2,83.4,86.6,87.8,83.2,108.6,108.0,52.4,-0.6,-0.9,-0.6,-0.9,-0.7,-0.6,-0.9,-1.2,-0.1,-1.7,-1.9,1.1,1.3,0.1,0.5,-0.3,255672,13265,178868,224621,225803,219878,188001,9754,173893,9022,170134,8179,1.4,83.0,86.3,87.7,83.3,67.6,76.8,52.9,5.3,5.0,5.0,6.1,5.1,5.8,6.7,6.4,4.3,-1.3,-1.2,6.7,6.3,0.1,0.5,-0.5,268549,13936,187278,238119,237149,231682,200178,10388,181222,9404,179222,11977,2.2,82.2,85.6,93.1,87.9,67.6,76.8,52.9
Mar-2001,0.6,0.2,0.3,0.5,0.6,0.5,0.4,0.1,1.4,-0.7,-1.0,1.2,1.4,-0.1,-0.6,0.3,258551,13365,179846,227173,228253,222005,189887,9816,177499,9175,172745,7963,2.0,82.8,85.7,88.9,84.4,108.5,107.3,52.6,1.4,1.0,0.0,1.4,1.3,1.2,1.3,0.9,2.4,-0.1,-0.7,1.5,0.7,1.2,0.9,-0.2,259176,13395,178871,227829,228801,222466,190410,9841,178010,9200,173655,9221,1.1,82.9,85.7,89.0,83.9,68.4,77.5,52.8,-6.2,-6.6,-6.9,-7.5,-6.3,-6.9,-8.3,-8.7,-4.4,0.8,0.0,-6.9,-6.9,1.2,0.9,-0.4,251843,13010,174342,220143,222196,215795,183502,9480,173194,8947,168566,7466,-0.4,82.9,85.6,86.6,81.9,68.4,77.5,52.6
Jun-2001,1.0,0.7,0.9,1.0,1.0,1.0,1.0,0.6,1.6,-0.4,-0.7,1.4,1.6,-0.4,0.0,0.1,261166,13454,181411,229461,230526,224191,191766,9879,180401,9293,175380,8437,2.3,82.5,85.1,90.2,85.7,108.1,107.3,52.6,0.7,0.4,2.0,0.7,0.6,0.6,0.5,0.1,1.2,-0.5,-0.7,1.3,2.7,0.5,0.8,-0.5,261116,13450,182462,229398,230282,223779,191301,9854,180156,9280,174109,6538,3.1,82.5,85.2,90.2,86.2,68.7,78.2,52.5,2.3,2.0,3.4,2.6,2.3,2.3,2.5,2.2,3.2,-0.7,-0.9,3.1,4.3,0.5,0.8,-0.1,257701,13276,180254,225821,227314,220842,188125,9692,178723,9207,170982,4160,3.5,82.2,84.8,89.3,85.4,68.7,78.2,52.6
Sep-2001,1.1,0.8,1.2,1.1,1.2,1.3,1.3,1.0,1.8,0.0,-0.2,1.1,1.4,-0.6,0.1,0.4,263987,13555,183521,231971,233309,227025,194290,9977,183596,9427,178777,9785,3.9,82.5,84.9,91.2,86.8,107.4,107.4,52.8,1.1,0.8,0.5,1.1,1.4,1.6,1.8,1.5,2.1,0.3,0.0,0.8,0.5,0.5,0.2,1.4,264015,13558,183384,232006,233546,227401,194706,9999,183909,9444,179190,10381,3.0,82.7,85.2,90.9,86.6,69.1,78.3,53.2,1.4,1.1,0.5,1.5,1.7,1.7,2.0,1.7,2.4,-1.2,-1.7,2.6,2.2,0.5,0.2,1.3,261353,13424,181144,229219,231191,224579,191954,9859,183016,9400,177488,9299,2.8,81.3,83.4,91.6,87.3,69.1,78.3,53.3
Dec-2001,1.1,0.8,1.3,1.1,1.3,1.3,1.4,1.1,1.8,0.2,0.1,0.9,1.2,0.0,-0.3,0.7,266817,13659,185860,234471,236243,230028,196954,10083,186827,9564,182282,11146,4.0,82.6,85.0,92.0,87.8,107.4,107.0,53.2,1.1,0.8,1.0,1.1,1.0,1.0,1.0,0.7,1.4,-0.3,-0.3,1.4,1.3,0.7,0.8,-0.2,266916,13663,185268,234582,235987,229736,196640,10066,186502,9547,182856,11940,5.0,82.5,84.9,92.2,87.7,69.6,78.9,53.1,7.9,7.5,8.3,9.2,7.8,8.4,9.8,9.4,6.5,0.6,1.0,7.2,7.2,0.7,0.8,-0.2,281898,14433,196168,250266,249218,243428,210720,10789,194844,9976,193370,16998,6.1,81.8,84.2,98.2,93.6,69.6,78.9,53.2
Mar-2002,1.1,0.8,1.4,1.1,1.2,1.2,1.3,1.0,1.8,0.5,0.4,0.7,0.9,-0.8,-0.9,0.8,269846,13773,188409,237152,239193,232859,199426,10178,190151,9705,185513,11553,2.3,83.0,85.4,92.6,88.7,106.6,106.0,53.6,0.9,0.6,1.8,0.9,1.4,1.4,1.5,1.2,2.0,0.8,0.7,0.1,1.2,1.0,0.7,2.2,269336,13747,188691,236622,239231,233002,199581,10186,190151,9705,184982,11207,3.9,83.2,85.5,92.3,88.7,70.3,79.5,54.3,-7.6,-8.0,-7.1,-9.2,-7.2,-7.6,-9.2,-9.5,-5.4,2.2,2.0,-9.6,-9.0,1.0,0.7,2.2,260401,13284,182240,227269,231301,225007,191335,9761,184363,9405,178653,8541,2.2,83.6,85.9,88.8,85.2,70.3,79.5,54.4
Jun-2002,1.1,0.8,1.3,1.0,1.1,1.0,1.0,0.7,1.7,0.6,0.5,0.4,0.8,0.1,-0.2,0.3,272686,13876,190936,239615,241744,235229,201410,10249,193320,9837,188297,10997,-0.2,83.5,85.8,93.0,89.4,106.7,105.8,53.8,1.5,1.2,1.3,1.5,1.2,1.1,1.1,0.8,1.9,0.6,0.8,0.9,0.5,0.2,0.4,-1.2,273330,13909,191172,240277,242154,235559,201728,10265,193789,9861,188450,10985,-2.4,83.7,86.1,93.1,89.2,70.4,79.8,53.7,3.7,3.4,3.7,4.2,3.4,3.4,3.8,3.6,4.5,-0.3,-0.1,4.0,3.8,0.2,0.4,-1.2,269944,13738,188963,236734,239208,232683,198647,10110,192725,9808,185241,8529,-2.5,83.3,85.8,92.3,88.5,70.4,79.8,53.7
Sep-2002,0.8,0.5,0.8,0.7,0.8,0.8,0.7,0.4,1.5,0.8,0.6,-0.1,0.2,-0.5,0.0,0.2,274783,13940,192474,241296,243668,237022,202798,10288,196298,9959,190948,10598,-1.9,84.2,86.3,92.9,89.6,106.2,105.8,53.9,0.4,0.1,0.6,0.3,0.5,0.4,0.3,0.0,1.0,0.7,0.2,-0.2,0.4,0.4,0.4,0.2,274554,13929,192386,241054,243293,236544,202318,10264,195682,9928,190968,10355,-1.4,84.2,86.3,92.9,89.6,70.7,80.1,53.8,1.4,1.1,2.0,1.5,1.4,1.1,1.3,1.0,1.6,-0.3,-1.1,1.7,3.1,0.4,0.4,0.0,273744,13891,192665,240204,242565,235297,201176,10208,195800,9935,190198,10202,-0.3,83.1,84.9,93.9,91.2,70.7,80.1,53.7
Dec-2002,0.5,0.2,0.2,0.3,0.5,0.5,0.4,0.1,1.2,0.9,0.6,-0.4,-0.4,0.3,0.1,0.4,276064,13962,192904,242104,244991,238223,203549,10295,198747,10052,193290,10391,-1.9,85.0,86.9,92.6,89.2,106.5,105.9,54.1,0.8,0.4,0.5,0.7,0.9,1.1,1.0,0.7,1.9,0.8,0.4,0.0,0.1,0.9,0.7,0.9,276650,13992,193408,242724,245595,239045,204394,10337,199384,10084,193714,10856,-1.7,84.9,86.7,92.9,89.7,71.3,80.7,54.3,5.8,5.5,5.1,6.7,6.0,6.7,7.8,7.4,6.6,1.7,1.6,4.0,3.4,0.9,0.7,0.9,289743,14657,202495,256399,257210,251111,216786,10966,208691,10557,204139,15216,-1.5,84.5,86.2,97.7,94.4,71.3,80.7,54.2
Mar-2003,0.4,0.1,0.2,0.3,0.6,0.6,0.5,0.2,1.2,0.7,0.7,-0.3,-0.5,-0.4,-0.7,1.0,277302,13981,193244,242829,246487,239685,204514,10311,201160,10142,195710,10476,-0.9,85.6,87.5,92.3,88.8,106.1,105.1,54.7,0.0,-0.3,-0.2,-0.2,0.2,0.0,-0.2,-0.5,0.9,1.3,1.4,-1.2,-1.6,1.1,0.9,0.9,276670,13949,192971,242177,246093,239132,203952,10283,201239,10146,195232,10167,-0.7,86.0,87.9,91.7,88.3,72.1,81.4,54.8,-7.6,-8.0,-8.3,-9.2,-7.4,-8.0,-9.7,-10.1,-6.7,2.0,2.4,-9.5,-10.5,1.1,0.9,1.0,267631,13487,185657,232737,238056,231094,195671,9860,194757,9814,188533,7022,-2.8,86.2,88.3,88.4,84.5,72.1,81.4,54.7
Jun-2003,0.9,0.6,0.7,0.8,1.1,1.1,1.0,0.7,1.6,0.5,0.5,0.4,0.2,-0.6,-0.2,1.0,279759,14062,194649,244788,249118,242295,206612,10385,204331,10270,199155,11334,-0.3,85.9,87.9,92.7,89.0,105.5,105.0,55.2,1.0,0.7,0.5,1.0,1.1,1.1,1.1,0.8,1.1,-0.1,0.1,1.1,0.4,0.0,0.0,0.3,279551,14051,193933,244569,248759,241831,206155,10362,203449,10226,198841,10950,-0.3,85.9,88.0,92.7,88.6,72.1,81.4,54.9,3.2,3.0,3.4,3.6,3.3,3.4,3.8,3.6,3.6,-1.2,-1.1,4.4,4.5,0.0,0.0,0.3,276306,13890,191882,241184,245908,239050,203185,10214,201689,10139,195781,8987,0.4,85.2,87.3,92.4,88.3,72.1,81.4,54.9
Sep-2003,1.3,1.0,1.5,1.3,1.6,1.6,1.6,1.3,2.1,0.4,0.4,0.9,1.1,-0.3,-0.3,1.5,283363,14200,197515,247924,253085,246185,210018,10525,208566,10452,203367,12556,0.3,86.3,88.2,93.6,90.0,105.2,104.7,56.1,1.3,1.0,1.9,1.3,1.7,1.9,1.9,1.6,2.6,0.3,0.2,1.0,1.7,0.7,0.2,2.0,283146,14190,197710,247688,252938,246313,210101,10529,208693,10459,203392,12691,0.2,86.2,88.2,93.6,90.2,72.7,81.6,56.0,1.5,1.2,1.9,1.6,1.9,1.8,2.0,1.7,2.9,-0.4,-0.7,1.9,2.6,0.7,0.2,1.9,280505,14060,195522,244934,250571,243340,207201,10386,207537,10402,201678,11555,0.7,84.9,86.7,94.1,90.6,72.7,81.6,56.0
Dec-2003,1.3,1.1,1.8,1.4,1.9,1.8,1.9,1.7,2.3,0.5,0.3,0.8,1.5,0.3,0.6,2.4,287183,14350,201098,251280,257785,250739,214109,10699,213286,10657,207468,13455,0.3,86.7,88.5,94.4,91.3,105.4,105.3,57.4,1.7,1.4,1.8,1.8,2.1,1.9,2.0,1.7,2.4,0.8,0.6,0.9,1.2,0.7,0.2,2.0,287918,14386,201273,252051,258204,250942,214339,10709,213699,10677,208228,14156,-0.2,86.8,88.7,94.5,91.3,73.2,81.7,57.2,8.8,8.4,9.6,10.2,9.2,9.5,11.1,10.8,7.5,1.5,1.5,7.1,8.0,0.7,0.2,2.2,305065,15246,214219,269881,273538,266550,230283,11509,223198,11155,220007,19488,1.3,86.2,88.0,100.8,97.8,73.2,81.7,57.3
Mar-2004,1.0,0.7,1.5,1.0,1.6,1.5,1.5,1.2,1.9,0.5,0.3,0.5,1.2,-1.2,-1.4,2.7,290141,14456,204050,253727,261947,254468,217344,10829,217340,10829,210798,13461,0.2,87.1,88.7,94.9,92.4,104.2,103.9,59.0,0.7,0.5,1.4,0.6,1.4,1.4,1.4,1.1,1.8,0.5,0.3,0.2,1.1,1.6,0.7,3.8,290038,14451,204175,253626,261945,254451,217347,10829,217549,10839,210346,12915,0.5,87.3,88.9,94.7,92.3,74.3,82.3,59.3,-8.2,-8.5,-8.4,-9.8,-7.5,-7.9,-9.6,-9.9,-5.8,1.7,1.7,-9.7,-9.9,1.6,0.7,3.8,280144,13950,196303,243339,253025,245581,208253,10370,210273,10471,203246,9623,-2.1,87.7,89.5,91.0,88.1,74.3,82.3,59.4
Jun-2004,0.8,0.5,0.8,0.7,1.2,0.9,0.8,0.5,1.5,0.3,0.2,0.5,0.6,0.4,0.5,3.2,292403,14527,205743,255438,265138,256822,219149,10887,220590,10959,213609,12780,0.2,87.4,88.9,95.3,93.0,104.6,104.4,60.9,0.8,0.5,0.9,0.6,1.3,1.2,1.1,0.8,1.3,0.4,0.1,0.4,0.8,1.0,0.5,2.8,292254,14520,205984,255272,265372,257451,219767,10919,220369,10949,213710,13150,2.3,87.6,89.0,95.0,93.0,75.1,82.7,61.0,2.7,2.5,3.5,2.9,3.3,3.3,3.6,3.4,4.0,-0.7,-1.4,3.4,4.9,1.0,0.5,2.9,287640,14293,203098,250483,261325,253686,215818,10724,218628,10864,210374,11151,2.7,87.1,88.3,94.1,92.4,75.1,82.7,61.2
Sep-2004,0.7,0.4,0.4,0.6,0.9,0.5,0.4,0.1,1.5,0.4,0.6,0.3,-0.3,0.8,1.6,1.2,294444,14583,206478,256913,267575,258216,219932,10893,223857,11087,216699,12517,0.4,87.8,89.5,95.6,92.8,105.5,106.1,61.6,0.7,0.4,0.3,0.6,0.8,0.2,0.0,-0.3,1.6,-0.2,0.2,0.9,0.1,0.6,0.6,0.9,294385,14580,206621,256849,267541,258014,219734,10883,223835,11086,216670,12338,0.3,87.5,89.3,95.9,93.1,75.5,83.2,61.6,1.6,1.3,1.1,1.7,1.7,0.7,0.7,0.4,2.4,-0.6,-0.3,2.2,1.4,0.6,0.6,0.9,292263,14477,205245,254646,265788,255463,217274,10763,223832,11088,216225,12592,1.6,86.5,88.0,96.2,93.7,75.5,83.2,61.7
Dec-2004,0.7,0.4,0.5,0.6,1.0,0.7,0.6,0.3,1.6,0.8,1.2,-0.1,-0.7,0.1,-0.5,1.7,296445,14635,207542,258336,270187,260095,221205,10921,227518,11232,219946,12753,0.6,88.5,90.5,95.5,92.1,105.6,105.5,62.6,0.8,0.5,0.2,0.7,1.0,0.6,0.5,0.2,1.6,1.2,1.4,-0.4,-1.2,1.0,0.8,1.2,296699,14648,207057,258606,270121,259669,220788,10900,227487,11231,219754,12163,0.7,88.5,90.5,95.5,92.0,76.3,83.9,62.3,6.8,6.5,6.3,7.8,6.9,7.3,8.3,8.0,6.2,1.3,1.6,5.5,4.5,1.0,0.8,1.1,312141,15415,218090,274586,284201,273984,235384,11624,237641,11736,231695,17452,1.5,87.6,89.5,101.5,98.0,76.3,83.9,62.4
Mar-2005,0.7,0.4,1.0,0.6,1.3,1.3,1.2,0.9,1.9,1.1,1.2,-0.3,-0.2,0.1,-0.4,2.5,298586,14691,209555,259876,273704,263412,223936,11018,231882,11409,223582,13557,0.9,89.4,91.7,95.1,91.9,105.7,105.1,64.2,0.6,0.3,0.9,0.5,1.1,1.2,1.1,0.8,2.0,1.3,1.7,-0.7,-0.8,1.2,0.7,2.8,298503,14687,208864,259796,273078,262819,223280,10986,231969,11413,224289,14698,0.8,89.7,92.1,94.8,91.2,77.2,84.5,64.0,-7.7,-8.1,-7.9,-9.3,-7.3,-7.5,-9.2,-9.6,-5.6,2.6,3.4,-10.0,-10.9,1.2,0.7,2.4,288171,14170,200809,249106,263503,253519,213759,10511,224415,11035,216250,10654,-2.4,89.9,92.5,91.3,87.3,77.2,84.5,63.9
Jun-2005,0.9,0.5,1.2,0.8,1.6,1.6,1.6,1.3,2.2,0.9,0.7,0.0,0.5,-0.8,-0.5,5.8,301181,14767,212005,261854,278052,267620,227554,11157,237006,11620,227977,15005,0.9,90.2,92.3,95.1,92.4,104.9,104.6,67.9,0.7,0.3,2.1,0.5,1.9,2.1,2.3,1.9,1.9,0.5,0.4,0.2,1.7,1.7,0.4,6.6,300524,14735,213197,261175,278303,268346,228356,11197,236376,11590,226529,13588,1.1,90.1,92.4,95.0,92.8,78.5,84.8,68.3,3.2,3.0,5.4,3.6,4.6,4.9,5.6,5.3,4.8,-0.4,-0.6,3.6,6.0,1.7,0.4,6.7,297536,14591,211595,258087,275553,265882,225742,11070,235081,11528,222742,10319,1.1,89.6,91.9,94.6,92.5,78.5,84.8,68.2
Sep-2005,0.9,0.5,0.9,0.8,1.5,1.4,1.4,1.0,2.2,0.3,-0.1,0.6,1.0,0.1,0.8,2.2,303930,14847,213950,263982,282156,271417,230760,11273,242321,11837,232886,16699,0.6,90.5,92.2,95.7,93.2,105.0,105.4,69.4,1.3,1.0,0.2,1.3,1.5,1.2,1.1,0.7,2.7,0.7,-0.1,0.6,0.3,1.1,0.8,1.1,304518,14876,213603,264580,282498,271569,230875,11279,242814,11862,233885,17326,0.7,90.8,92.3,95.6,93.1,79.3,85.5,69.0,1.7,1.3,0.5,1.8,2.0,1.2,1.3,0.9,3.2,0.5,-0.7,1.2,1.2,1.1,0.8,1.5,302643,14786,212578,262640,281037,269174,228583,11168,242519,11849,233350,17742,2.0,90.0,91.3,95.8,93.6,79.3,85.5,69.2
Dec-2005,0.7,0.3,0.6,0.6,1.0,1.0,0.9,0.5,1.9,0.1,-0.2,0.6,0.8,-0.1,-0.7,1.1,306032,14895,215182,265436,285112,274172,232863,11334,246827,12013,237362,17408,0.0,90.6,92.0,96.2,94.0,104.8,104.7,70.2,0.6,0.2,0.7,0.4,1.0,0.9,0.7,0.4,1.9,-0.1,0.0,0.7,0.7,1.0,0.6,2.0,306318,14908,215117,265736,285346,273914,232595,11320,247395,12040,237402,17702,-0.1,90.7,92.3,96.3,93.8,80.1,86.1,70.4,6.5,6.1,6.5,7.4,6.8,7.3,8.4,8.0,6.6,-0.9,-0.4,7.4,7.0,1.0,0.6,1.9,322221,15686,226424,282146,300174,288868,247843,12065,258599,12589,250859,24267,1.3,89.2,90.9,102.9,100.2,80.1,86.1,70.5
Mar-2006,0.4,0.0,0.4,0.2,0.7,0.6,0.5,0.1,1.5,0.4,0.4,0.0,0.0,-0.4,-0.7,2.1,307206,14897,216015,265927,287017,275915,233927,11343,250605,12152,240970,16658,-0.1,90.9,92.3,96.2,94.0,104.4,104.0,71.7,0.3,0.0,0.5,0.1,0.6,0.9,0.8,0.5,1.2,0.0,-0.3,0.4,0.9,1.3,1.0,1.4,307322,14901,216208,266051,287046,276406,234516,11371,250473,12145,241414,17630,-0.1,90.6,91.9,96.6,94.6,81.2,86.9,71.4,-8.0,-8.5,-8.4,-9.7,-7.9,-7.8,-9.6,-10.0,-6.7,1.7,1.4,-9.6,-9.7,1.3,1.0,1.0,296306,14359,207452,254684,276593,266263,224133,10862,241298,11693,232719,13437,-3.3,90.7,92.2,93.1,90.5,81.2,86.9,71.2
Jun-2006,0.4,0.1,0.7,0.3,0.8,0.6,0.5,0.1,1.7,0.8,1.0,-0.4,-0.3,-0.3,-0.1,1.9,308569,14905,217462,266607,289316,277671,235061,11355,254796,12308,244449,15558,0.7,91.7,93.3,95.9,93.7,104.1,103.8,73.1,0.3,-0.1,0.7,0.0,0.7,0.5,0.2,-0.2,1.4,1.3,1.5,-1.0,-0.8,1.4,1.0,2.0,308166,14888,217644,266181,289083,277751,234982,11353,254068,12275,243758,14025,0.2,91.8,93.3,95.6,93.8,82.3,87.8,72.8,3.0,2.7,4.2,3.3,3.5,3.4,3.7,3.4,4.7,1.0,1.0,1.9,3.2,1.4,1.0,2.0,305154,14745,216117,263078,286170,275335,232410,11230,252552,12203,239410,10364,0.5,91.7,93.1,94.9,93.4,82.3,87.8,72.6
Sep-2006,1.0,0.6,1.2,0.9,1.4,1.1,1.1,0.7,2.3,0.9,1.1,0.1,0.1,0.4,0.4,1.3,311656,14993,220022,269059,293349,280809,237646,11432,260580,12536,249425,15966,2.2,92.5,94.2,96.0,93.8,104.6,104.3,74.0,0.9,0.5,0.5,0.9,1.2,0.7,0.6,0.2,2.6,1.1,1.6,-0.1,-1.1,1.2,0.9,1.3,311076,14963,218741,268463,292561,279612,236508,11377,260628,12537,249142,15675,2.4,92.8,94.8,95.5,92.8,83.3,88.6,73.7,2.0,1.6,1.6,2.1,2.4,1.3,1.5,1.0,3.6,0.2,0.1,1.8,1.5,1.2,0.9,1.9,311320,14977,219578,268711,293005,278814,235822,11345,261669,12588,249646,17188,4.2,91.8,93.1,96.6,94.8,83.3,88.6,74.0
Dec-2006,1.4,1.0,1.5,1.5,1.9,1.7,1.8,1.3,2.6,0.8,0.7,0.7,0.8,0.3,-0.3,2.2,316174,15143,223303,272975,298860,285517,241813,11582,267418,12808,255734,17485,3.9,93.2,94.9,96.6,94.5,105.0,104.0,75.6,1.7,1.2,2.5,1.7,2.2,2.1,2.2,1.8,2.6,0.5,0.1,1.2,2.4,1.0,0.4,2.5,316245,15147,224147,273054,298931,285450,241781,11581,267400,12808,255717,18285,4.1,93.3,94.9,96.6,95.0,84.2,88.9,75.6,5.9,5.4,6.6,6.7,6.4,7.0,8.1,7.7,6.9,0.0,0.3,5.9,6.3,1.0,0.4,2.5,329611,15793,234102,286791,311648,298415,255012,12218,279788,13405,268729,23895,4.7,91.8,93.4,102.3,100.7,84.2,88.9,75.9
